Address,lat,lng
"Meadville, PA 16335",41.6414438,-80.15144839999999
"Sioux Falls, SD 57197",43.5249027,-96.7380257
"Waco, TX 76798",31.5470221,-97.12432869999999
"Mt Berry, GA 30149",34.29039,-85.1802699
"Bridgewater, MA 02325",41.9865159,-70.9728396
"Provo, UT 84602",40.2524308,-111.6502622
"Fullerton, CA 92831",33.881922,-117.8956062
"Pittsburgh, PA 15213",40.4379259,-79.9556424
"Durham, NC 27708",35.9992263,-78.94720889999999
"Fort Myers, FL 33965",26.4588273,-81.7622951
"Fairfax, VA 22030",38.84622359999999,-77.30637329999999
"Fairfax, VA 22030",38.84622359999999,-77.30637329999999
"Fairfax, VA 22030",38.84622359999999,-77.30637329999999
"Statesboro, GA 30460",32.4259367,-81.7828033
"Tiffin, OH 44883",41.1144992,-83.1779746
"Arcata, CA 95521",40.8665166,-124.0828396
"East Peoria, IL 61635",40.7,-89.52
"Huntingdon, PA 16652",40.5087323,-77.9510209
"Farmville, VA 23909",37.3008211,-78.3952431
"Middlebury, VT 05753",44.0153371,-73.16734
"Mississippi State, MS 39762",33.45622,-88.79570799999999
"Bozeman, MT 59717",45.6603986,-111.0451818
"Bozeman, MT 59717",45.6603986,-111.0451818
"Las Vegas, NM 87701",35.5942137,-105.2227978
"Las Vegas, NM 87701",35.5942137,-105.2227978
"Raleigh, NC 27695",35.7850545,-78.68194489999999
"Columbus, OH 43210",39.9990626,-83.01733860000002
"Corvallis, OR 97331",44.5642722,-123.2785942
"Providence, RI 02918",41.84267029999999,-71.4402467
"Virginia Beach, VA 23464",36.7973473,-76.18996609999999
"Winter Park, FL 32789",28.5950986,-81.3509416
"Buffalo, NY 14260",42.8711,-78.8593199
"Rochester, NY 14618",43.1156031,-77.55621
"Sparkill, NY 10976",41.0299672,-73.9282607
"San Jose, CA 95192",37.34,-121.88
"Santa Clara, CA 95053",37.348667,-121.936645
"San Marcos, TX 78666",29.8942825,-97.9810845
"Birmingham, AL 35294",33.5075555,-86.8093239
"Santa Barbara, CA 93106",34.4135868,-119.8496976
"Edmond, OK 73034",35.7085641,-97.4165053
"Newark, DE 19716",39.6673566,-75.75023139999999
"St Louis, MO 63121",38.7102377,-90.3042778
"Omaha, NE 68182",41.2453849,-96.01895999999999
"Grand Forks, ND 58202",47.9536762,-97.1683543
"San Francisco, CA 94117",37.7717185,-122.4438929
"Knoxville, TN 37996",35.9433558,-83.93869910000001
"Burlington, VT 05405",44.4739489,-73.1943038
"Menomonie, WI 54751",44.8755183,-91.9193422
"Collegeville, PA 19426",40.1856597,-75.451571
"Lexington, VA 24450",37.78402080000001,-79.4428157
"Lexington, VA 24450",37.78402080000001,-79.4428157
"Blacksburg, VA 24061",37.22094939999999,-80.42280099999999
"Morgantown, WV 26506",39.654181,-79.9594886
"Morgantown, WV 26506",39.654181,-79.9594886
"Bellingham, WA 98225",48.7562157,-122.4894588
"Wheaton, IL 60187",41.8745267,-88.1193763
"Walla Walla, WA 99362",46.0645809,-118.3430208
"Spokane, WA 99251",47.75285479999999,-117.4481445
"Spokane, WA 99251",47.75285479999999,-117.4481445
"Wilmington, OH 45177",39.4457756,-83.804868
"Dayton, OH 45435",39.6710014,-84.1876983
"York, PA 17403",39.9625984,-76.727745
"York, PA 17403",39.9625984,-76.727745
"Auburn, AL 36849",32.5909562,-85.49297849999999
"Waco, TX 76798",31.5470221,-97.12432869999999
"Bloomington, IN 47405",39.1714266,-86.51860219999999
"Las Cruces, NM 88003",32.2777551,-106.7455792
"Houston, TX 77005",29.7183467,-95.4306141
"Glassboro, NJ 08028",39.7017383,-75.11951069999999
"Philadelphia, PA 19131",39.9915379,-75.21873459999999
"Orlando, FL 32816",28.6013431,-81.20092869999999
"Orlando, FL 32816",28.6013431,-81.20092869999999
"Colorado Springs, CO 80918",38.9043608,-104.7637619
"Urbana, IL 61801",40.1059233,-88.2120315
"Louisville, KY 40292",38.21692609999999,-85.7624992
"Asheville, NC 28804",35.6304783,-82.5510469
"Columbia, SC 29208",33.9963052,-81.027157
"Winston-Salem, NC 27109",36.1341553,-80.2781262
"Fulton, MO 65251",38.84670819999999,-91.94795859999999
"Thousand Oaks, CA 91360",34.2024698,-118.8741429
"Ypsilanti, MI 48197",42.2411499,-83.61299389999999
"Ypsilanti, MI 48197",42.2411499,-83.61299389999999
"Rolla, MO 65409",37.9552246,-91.7727479
"Boston, MA 02115",42.339904,-71.0898892
"De Pere, WI 54115",44.4488805,-88.0603806
"Dearborn, MI 48128",42.3197827,-83.27735899999999
"Hattiesburg, MS 39406",31.32884159999999,-89.3315894
"La Crosse, WI 54601",43.8041647,-91.15449629999999
"Milwaukee, WI 53201",43.03,-87.92
"Menomonie, WI 54751",44.8755183,-91.9193422
"Detroit, MI 48202",42.3664506,-83.0737195
"Kansas City, MO 64145",38.8817227,-94.5985613
"Laie, HI 96762",21.6482858,-157.9225549
"Pittsburgh, PA 15213",40.4379259,-79.9556424
"Mt Pleasant, MI 48859",43.5907792,-84.7788786
"Conway, SC 29528",33.84,-79.05
"Harrisonburg, VA 22807",38.43159929999999,-78.8651581
"New York, NY 10019",40.7686973,-73.9918181
"Baltimore, MD 21210",39.3566383,-76.6354952
"Lebanon, IL 62254",38.6039375,-89.80731949999999
"Dubois, PA 15801",41.1210115,-78.7583257
"Claremont, CA 91711",34.1707374,-117.702148
"Manchester, NH 03106",43.0802842,-71.4536835
"Urbana, IL 61801",40.1059233,-88.2120315
"College Park, MD 20742",38.9908487,-76.944141
"University, MS 38677",34.367641,-89.5391483
"Stevens Point, WI 54481",44.52357920000001,-89.574563
