Institution,Position,Address,URL
College of the Holy Cross ,Assistant Professor in Rhetoric and Composition (Tenure-Track position) [rhetmap 1],"Worcester, MA 16100","http://apply.interfolio.com/52966"
Texas Tech University ,Two Assistant/Associate Professor of Tech Comm/Rhetoric [rhetmap 2],"Lubbock, TX 70490",http://www.depts.ttu.edu/english/tcr/job-ad-2018.php
Michigan State University,"Associate/Full Professor, Cultural Rhetorics [rhetmap 3]","East Lansing, MI 48824",http://careers.msu.edu/cw/en-us/job/499875/asc-proffull-professortenure-system
Michigan State University,"Assistant Professor, Cultural Rhetorics [rhetmap 4]","East Lansing, MI 48824",http://careers.msu.edu/cw/en-us/job/499873/assistant-professortenure-system
Michigan State University,"Associate/Full Professor, Writing Program Administration [rhetmap 5]","East Lansing, MI 48824",http://careers.msu.edu/cw/en-us/job/499874/asc-proffull-tenure-system
Bryant U,Assistant Professor and Coordinator of the Writing Workshop  [32343] ,"Smithfield, RI 02917",https://employment.bryant.edu/postings/1890
C of the Redwoods,"Assistant Professor, English at Pelican Bay State Prison  [31986] ","Eureka, CA 95501",https://employment.redwoods.edu/postings/2397
Duquesne U,Teaching Assistant Professor (Multiple Positions)  [32519] ,"Pittsburgh, PA 15282",https://apply.interfolio.com/53659
Florida Atlantic U,Assistant Professor of Rhetoric and Composition  [32567] ,"Boca Raton, FL 33431",https://apply.interfolio.com/54414
Grand Valley SU,Affiliate Faculty of First-Year Writing  [32243],"Allendale, MI 49401",http://jobs.gvsu.edu/cw/en-us/listing/
High Point U,Assistant Professor of English  [32510] ,"High Point, NC 27268",https://highpoint.wd1.myworkdayjobs.com/HighPoint
Illinois SU,"Advanced Assistant or Associate Professor, Writing Program Administration  [32512]","Normal, IL 61790",https://apply.interfolio.com/54247
Lafayette C,Assistant Professor of Creative Writing (Fiction/Screenwriting)  [32584],"Easton, PA 18042",https://apply.interfolio.com/54061
Lone Star College System,"Adjunct Faculty, English 17000771  [32411]","The Woodlands, TX 77381",http://www.lonestar.edu/employment.htm
Miami U,Assistant Professor in Professional/Technical Communication and Interactive Media Studies  [32184],"Oxford, OH 45056",https://miamioh.hiretouch.com/job-details?jobID=6213
Middlebury C,Director of Writing Center and Assistant Professor of Writing & Rhetoric  [32594],"Middlebury, VT 05753",https://apply.interfolio.com/52828
Misericordia U,Assistant Professor of English  [32587] ,"Dallas, PA 18612",https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=d687b185-ab48-45f0-afcf-5b1ceb8d32ea&jobId=227287&lang=en_US&source=CC2&ccId=19000101_000001
Salisbury U,"ASSISTANT PROFESSORS OF ENGLISH, WRITING AND RHETORIC (2 POSITIONS)  [32303] ","Salisbury, MD 21801",http://www.salisbury.edu/administration/administration-and-finance-offices/human-resources/careers/index.aspx
Texas Tech U,Assistant/Associate Professor of Technical Communication & Rhetoric  [32205],"Lubbock, TX 79409",https://www.texastech.edu/careers/
Towson U,Assistant Professor of English  [32147] ,"Towson, MD 21252 ",https://apply.interfolio.com/54182
Towson U,Assistant Professor of English  [32148] ,"Towson, MD 21252 ",https://apply.interfolio.com/54181
"U of Houston, Victoria",Assistant Professor of Composition and Rhetoric  [32323],"Victoria, TX 77901",https://uhs.taleo.net/careersection/ex5_uhv/jobdetail.ftl?job=FAC000596&tz=GMT-04%3A00
U of Michigan,Associate Professor of Writing Studies  [32467] ,"Ann Arbor, MI 48109",https://apply.interfolio.com/52540
"U of Minnesota, Twin Cities",Assistant Professor (Writing Studies/Communication Studies: Rhetorical Theory)  [32507],"Minneapolis, MN 55455",https://humanresources.umn.edu/jobs
Union U,Director For The Writing Center  [32363],"Jackson, TN 38305",http://www.uu.edu/humanresources/
Virginia Military Inst,Assistant Professor of English--Rhetoric & Composition  [32003] ,"Lexington, VA 24450 ",https://apply.interfolio.com/54160
Wake Forest U,Assistant Professor in Writing Program  [32599] ,"Winston-Salem, NC 27109",https://www.wfu.careers/
Wake Forest U,Assistant Teaching Professor in Writing Program  [32600] ,"Winston-Salem, NC 27109",https://www.wfu.careers/
Wake Forest U,"Assistant Professor in Professional and Technical Writing, Department of English  [32569] ","Winston-Salem, NC 27109",https://www.wfu.careers/
"Oxford College of Emory University	",Writing Center Director [rhetmap 6]       ,"Oxford, Georgia 30054","http://oxford.emory.edu/offices-and-services/human-resources/careers.html	
"
Saint Mary's C of California,"Assistant Professor in Rhetoric and Composition, Tenure-track  [32652] ","Moraga, CA 94575",https://apply.interfolio.com/53317
Florida SU,"Associate or Full Professor, Rhetoric and Composition  [32686] ","Tallahassee, FL 32306",http://hr.fsu.edu/index.cfm?page=ers/ers_home
Hampden-Sydney C,Assistant Professor of Rhetoric  [32670] ,"Hampden-Sydney, VA 23943",https://apply.interfolio.com/54693
Morgan SU,Assistant Professor of English  [32691] ,"Baltimore, MD 21251",https://apply.interfolio.com/54922
Saint Mary's C of California,"Assistant Professor in Rhetoric and Composition, Tenure-track  [32652] ","Moraga, CA 94575",https://apply.interfolio.com/53317
"U of California, San Diego",Associate Teaching Professor (LSOE) for Creative Writing  [32707] ,"La Jolla, CA 92093",https://apol-recruit.ucsd.edu/apply/JPF01856
U of Pittsburgh,Crow Chair in Writing  [32694] ,"Pittsburgh, PA 15260",https://apply.interfolio.com/54965
Yale-NUS College,"Director, Writers' Centre and faculty appointment  [32763]","Singapore 138614, 01 Singapore",https://academicjobsonline.org/ajo/jobs/11972
Arizona SU,Full Professor of Rhetoric and Composition/Writing Programs Director  [32823] ,"Tempe, AZ 85287",https://academicjobsonline.org/ajo/jobs/11980
California Lutheran U,Advanced Assistant or Associate Professor - Composition Specialist  [32865] ,"Thousand Oaks, CA 91360",http://apptrkr.com/get_redirect.php?id=1292930
"Montana SU, Bozeman",Director of Composition  [32806] ,"Bozeman, MT 59717 ",https://jobs.montana.edu/postings/13735
"Montana SU, Bozeman",Assistant Professor of English (Technical Communications)  [32942] ,"Bozeman, MT 59717 ",https://jobs.montana.edu/postings/13790
Penn State U,Paterno Family Professor of English  [32931] ,"University Park, PA 16802 ",http://apptrkr.com/1295354
"U of Houston, Downtown",Assistant Professor of Technical Communication  [32904] ,"Houston, TX 77002 ",https://uhs.taleo.net/careersection/ex3_uhdf/jobdetail.ftl?job=FAC000698&tz=GMT-05%3A00
"U of Washington, Bothell",Assistant/Associate Professor – Rhetoric and Composition  [32787] ,"Bothell, WA 98011",https://apply.interfolio.com/52556
"U of Wisconsin, Milwaukee","Assistant, Associate, and/or Professor of English (two positions)  [32934] ","Milwaukee, WI 53201",https://jobs.uwm.edu/postings/27904
Brigham Young U-Hawaii,English Professor  [32903] ,"Laie, HI 96762",https://byuhi.wd1.myworkdayjobs.com/en-US/BYU_H/job/BYU-Hawaii/English-Professor_R0004342-1
"SU of New York, U at Buffalo","Assistant Professor, Professional and Technical Writing  [32988] ","Buffalo, NY 14260",https://www.ubjobs.buffalo.edu/postings/16543
U of Kansas,Assistant or Associate Professor of Rhetoric and Composition  [32989] ,"Lawrence, KS 66045 ",https://apply.interfolio.com/55439
North Carolina State University,Assistant Professor Technical Communication [rhetmap 7],"Raleigh, NC 27695-8105",https://jobs.ncsu.edu/postings/106789
Wayne State University,Assistant Professor of Composition and Rhetoric [rhetmap 8],"Detroit, MI 48202	","http://www.clas.wayne.edu/English/Tenure-track-Assistant-Professor-Position        
"
American University of Beirut ,Instructor [rhetmap 9],"Beirut, Lebanon 1107 2020	","http://www.aub.edu.lb/fas/Pages/academic-employment.aspx#Link2	
"
Al Faisal U,Assistant Professor (female or male) of English for the Department of Humanities College of Science  [33043] ,Riyadh Saudi Arabia 11533,https://jobs.alfaisal.edu/site/assistant-professor-cosgs-131217
C of Saint Scholastica,Assistant Professor of English  [33082] ,"Duluth, MN 55811",https://www.csshrjobs.com/
"Georgia Southern U, Statesboro",Assistant Professor  [33025],"Statesboro, GA 30460",https://apply.interfolio.com/55712
New York U,CLINICAL ASSOCIATE PROFESSOR Expository Writing Program  [33086] ,"New York, NY 10003",https://apply.interfolio.com/53586
Purdue U Northwest,Assistant Professor of Rhetoric and Composition  [33057] ,"Hammond, IN 46323",https://apply.interfolio.com/55653
